id;street_address;postal_code;city;state_province
1;mean;thoroughly;North Jerrell;mmm the than
2;pace hmph;yet;Lake Havasu City;yieldingly only alliance
3;indeed misreport;calmly;Walnut Creek;tighten softly
4;now demobilise dial;dependent gummy meanwhile;Padbergtown;majestically unto ew
5;mechanically close;phew;Cummeratacester;pulverize
6;boohoo;forenenst persecute damaged;Dublin;if
7;wisely unlike excepting;total and form;Emardhaven;alliance randomize
8;glass inside;smoggy editor;North Hudson;easily
9;hairy upwardly;oh;Lake Eldridgebury;source now phew
10;deployment;aside hutch;Pasadena;salty ha burly
